user_email,calories,timestamp
d@gmail.com,1439,2024-02-22 23:03:31.044349
d@gmail.com,1422,2024-02-23 12:09:31.044349
d@gmail.com,1114,2024-02-22 21:38:31.044349
d@gmail.com,339,2024-02-22 20:19:31.044349
d@gmail.com,453,2024-02-23 16:30:31.044349
d@gmail.com,277,2024-02-23 03:42:31.044349
d@gmail.com,716,2024-02-23 16:32:31.044349
d@gmail.com,1376,2024-02-23 10:16:31.044349
d@gmail.com,1262,2024-02-23 00:35:31.044349
d@gmail.com,1214,2024-02-23 05:51:31.044349
d@gmail.com,933,2024-02-23 03:58:31.044349
d@gmail.com,1206,2024-02-23 11:28:31.044349
d@gmail.com,299,2024-02-23 21:24:31.044349
d@gmail.com,881,2024-02-23 04:10:31.044349
d@gmail.com,707,2024-02-23 20:40:31.044349
d@gmail.com,265,2024-02-23 09:35:31.044349
d@gmail.com,696,2024-02-24 06:11:31.044349
d@gmail.com,296,2024-02-23 10:08:31.044349
d@gmail.com,96,2024-02-24 02:02:31.044349
d@gmail.com,1194,2024-02-24 04:19:31.044349
d@gmail.com,1245,2024-02-24 07:15:31.044349
d@gmail.com,217,2024-02-23 15:40:31.044349
d@gmail.com,53,2024-02-23 17:28:31.044349
d@gmail.com,1365,2024-02-23 18:20:31.044349
d@gmail.com,1380,2024-02-24 09:40:31.044349
d@gmail.com,328,2024-02-24 04:43:31.044349
d@gmail.com,1342,2024-02-24 06:25:31.044349
d@gmail.com,1397,2024-02-24 06:38:31.044349
d@gmail.com,1476,2024-02-24 03:22:31.044349
d@gmail.com,1230,2024-02-24 23:51:31.044349
d@gmail.com,1420,2024-02-24 23:53:31.044349
d@gmail.com,421,2024-02-24 15:59:31.044349
d@gmail.com,671,2024-02-24 15:10:31.044349
d@gmail.com,1060,2024-02-24 18:15:31.044349
d@gmail.com,1469,2024-02-25 00:51:31.044349
d@gmail.com,780,2024-02-25 06:39:31.044349
d@gmail.com,502,2024-02-24 18:06:31.044349
d@gmail.com,184,2024-02-24 14:55:31.044349
d@gmail.com,288,2024-02-24 18:00:31.044349
d@gmail.com,1032,2024-02-25 05:05:31.044349
